Time (ms),%CPU,%MEM
0,13.3,0.6
1000,6.6,0.6
1500,0.0,0.6
2000,0.0,0.6
3000,0.0,0.6
3500,0.0,0.6
4000,0.0,0.6
5000,0.0,0.6
5500,0.0,0.6
6000,6.6,0.6
6500,0.0,0.6
7000,0.0,0.6
8000,0.0,0.6
8500,6.6,0.6
9000,6.6,0.6
10000,0.0,0.6
10500,0.0,0.6
11000,6.6,0.6
12000,0.0,0.6
12500,0.0,0.6
13000,0.0,0.6
14000,13.3,0.6
14500,0.0,0.6
15000,0.0,0.6
16000,0.0,0.6
16500,0.0,0.6
17000,6.6,0.6
18000,6.6,0.6
18500,0.0,0.6
19000,6.6,0.6
20000,0.0,0.6
20500,6.6,0.6
21000,0.0,0.6
22000,0.0,0.6
22500,0.0,0.6
23000,0.0,0.6
24000,0.0,0.6
24500,6.6,0.6
25000,0.0,0.6
26000,6.6,0.6
26500,0.0,0.6
27000,0.0,0.6
28000,0.0,0.6
28500,0.0,0.6
29000,39.8,0.6
30000,6.6,0.6
30500,0.0,0.6
31000,6.6,0.6
32000,0.0,0.6
32500,0.0,0.6
33000,0.0,0.6
34000,0.0,0.6
34500,0.0,0.6
35000,6.6,0.6
35500,6.6,0.6
36000,0.0,0.6
37000,0.0,0.6
37500,6.6,0.6
38000,13.3,0.6
39000,0.0,0.6
39500,6.6,0.6
40000,0.0,0.6
41000,0.0,0.6
41500,0.0,0.6
42000,0.0,0.6
43000,0.0,0.6
43500,0.0,0.6
44000,0.0,0.6
45000,0.0,0.6
45500,0.0,0.6
46000,0.0,0.6
47000,6.6,0.6
47500,6.6,0.6
48000,0.0,0.6
49000,0.0,0.6
49500,0.0,0.6
50000,6.6,0.6
51000,6.6,0.6
51500,6.6,0.6
52000,0.0,0.6
53000,0.0,0.6
53500,0.0,0.6
54000,0.0,0.6
55000,0.0,0.6
55500,6.6,0.6
56000,0.0,0.6
57000,0.0,0.6
57500,0.0,0.6
58000,6.6,0.6
59000,6.6,0.6
59500,0.0,0.6
60000,6.6,0.6
61000,0.0,0.6
61500,0.0,0.6
62000,0.0,0.6
63000,0.0,0.6
63500,0.0,0.6
64000,0.0,0.6
65000,6.6,0.6
65500,0.0,0.6
66000,0.0,0.6
66500,0.0,0.6
67000,0.0,0.6
68000,6.6,0.6
68500,0.0,0.6
69000,6.6,0.6
70000,0.0,0.6
70500,0.0,0.6
71000,6.6,0.6
72000,0.0,0.6
72500,0.0,0.6
73000,0.0,0.6
74000,0.0,0.6
74500,6.6,0.6
75000,6.6,0.6
76000,0.0,0.6
76500,6.6,0.6
77000,0.0,0.6
78000,0.0,0.6
78500,0.0,0.6
79000,6.6,0.6
80000,6.6,0.6
80500,0.0,0.6
81000,6.6,0.6
82000,0.0,0.6
82500,0.0,0.6
83000,0.0,0.6
84000,6.6,0.6
84500,6.6,0.6
85000,6.6,0.6
86000,0.0,0.6
86500,6.6,0.6
87000,6.6,0.6
88000,6.6,0.6
88500,0.0,0.6
89000,6.6,0.6
90000,6.6,0.6
90500,0.0,0.6
91000,0.0,0.6
92000,0.0,0.6
92500,0.0,0.6
93000,0.0,0.6
94000,0.0,0.6
94500,0.0,0.6
95000,6.6,0.6
96000,0.0,0.6
96500,6.6,0.6
97000,0.0,0.6
98000,6.6,0.6
98500,6.6,0.6
99000,6.6,0.6
100000,0.0,0.6
100500,0.0,0.6
101000,6.6,0.6
102000,0.0,0.6
102500,0.0,0.6
103000,0.0,0.6
104000,6.6,0.6
104500,0.0,0.6
105000,6.6,0.6
106000,0.0,0.6
106500,6.6,0.6
107000,0.0,0.6
108000,6.6,0.6
108500,0.0,0.6
109000,6.6,0.6
110000,0.0,0.6
110500,0.0,0.6
111000,0.0,0.6
112000,0.0,0.6
112500,0.0,0.6
113000,0.0,0.6
114000,6.6,0.6
114500,0.0,0.6
115000,0.0,0.6
116000,0.0,0.6
116500,0.0,0.6
117000,6.6,0.6
118000,0.0,0.6
118500,6.6,0.6
119000,6.6,0.6
120000,0.0,0.6
120500,0.0,0.6
121000,6.6,0.6
122000,0.0,0.6
122500,0.0,0.6
123000,0.0,0.6
124000,0.0,0.6
124500,6.6,0.6
125000,0.0,0.6
125500,0.0,0.6
126000,0.0,0.6
127000,6.6,0.6
127500,6.6,0.6
128000,0.0,0.6
129000,0.0,0.6
129500,0.0,0.6
130000,0.0,0.6
131000,0.0,0.6
131500,0.0,0.6
132000,0.0,0.6
133000,0.0,0.6
133500,0.0,0.6
134000,6.6,0.6
135000,0.0,0.6
135500,0.0,0.6
136000,0.0,0.6
137000,6.6,0.6
137500,0.0,0.6
138000,0.0,0.6
139000,6.6,0.6
139500,6.6,0.6
140000,6.6,0.6
141000,0.0,0.6
141500,0.0,0.6
142000,0.0,0.6
143000,0.0,0.6
143500,0.0,0.6
144000,0.0,0.6
145000,0.0,0.6
145500,6.6,0.6
146000,6.6,0.6
147000,0.0,0.6
147500,6.6,0.6
148000,0.0,0.6
149000,6.6,0.6
149500,0.0,0.6
150000,0.0,0.6
151000,6.6,0.6
151500,0.0,0.6
152000,0.0,0.6
153000,0.0,0.6
153500,0.0,0.6
154000,0.0,0.6
155000,0.0,0.6
155500,6.6,0.6
156000,6.6,0.6
157000,6.6,0.6
157500,0.0,0.6
158000,6.6,0.6
159000,0.0,0.6
159500,6.6,0.6
160000,0.0,0.6
160500,0.0,0.6
161000,0.0,0.6
162000,0.0,0.6
162500,0.0,0.6
163000,0.0,0.6
164000,6.6,0.6
164500,0.0,0.6
165000,6.6,0.6
166000,6.6,0.6
166500,0.0,0.6
167000,0.0,0.6
168000,0.0,0.6
168500,0.0,0.6
169000,0.0,0.6
170000,0.0,0.6
170500,6.6,0.6
171000,6.6,0.6
172000,0.0,0.6
172500,0.0,0.6
173000,0.0,0.6
174000,0.0,0.6
174500,0.0,0.6
175000,0.0,0.6
176000,0.0,0.6
176500,0.0,0.6
177000,0.0,0.6
178000,6.6,0.6
178500,6.6,0.6
179000,0.0,0.6
180000,0.0,0.6
180500,0.0,0.6
181000,0.0,0.6
182000,0.0,0.6
182500,0.0,0.6
183000,0.0,0.6
184000,6.6,0.6
184500,0.0,0.6
185000,6.6,0.6
186000,0.0,0.6
186500,0.0,0.6
187000,0.0,0.6
188000,6.6,0.6
188500,6.6,0.6
189000,13.3,0.6
190000,6.6,0.6
190500,0.0,0.6
191000,6.6,0.6
192000,0.0,0.6
192500,0.0,0.6
193000,0.0,0.6
194000,0.0,0.6
194500,6.6,0.6
195000,0.0,0.6
196000,0.0,0.6
196500,0.0,0.6
197000,0.0,0.6
198000,0.0,0.6
198500,6.6,0.6
199000,6.6,0.6
199500,0.0,0.6
200000,0.0,0.6
201000,0.0,0.6
201500,0.0,0.6
202000,0.0,0.6
203000,0.0,0.6
203500,0.0,0.6
204000,6.6,0.6
205000,6.6,0.6
205500,0.0,0.6
206000,0.0,0.6
207000,0.0,0.6
207500,6.6,0.6
208000,6.6,0.6
209000,0.0,0.6
209500,13.3,0.6
210000,6.6,0.6
211000,6.6,0.6
211500,0.0,0.6
212000,0.0,0.6
213000,0.0,0.6
213500,0.0,0.6
214000,6.6,0.6
215000,0.0,0.6
215500,6.6,0.6
216000,0.0,0.6
217000,0.0,0.6
217500,6.6,0.6
218000,0.0,0.6
219000,6.6,0.6
219500,0.0,0.6
220000,0.0,0.6
221000,6.6,0.6
221500,6.6,0.6
222000,0.0,0.6
223000,0.0,0.6
223500,0.0,0.6
224000,0.0,0.6
225000,6.6,0.6
225500,0.0,0.6
226000,0.0,0.6
227000,6.6,0.6
227500,0.0,0.6
228000,6.6,0.6
229000,0.0,0.6
